Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade
5207600;Fazenda Nova;Iporá;GO;Centro-Oeste;1.281,42;5.553,00;2.052,64;101.624,51;0,685;2.730,76;5.605.269,70;2.631,00;0,576;0,831
5207808;Firminópolis;Anicuns;GO;Centro-Oeste;423,65;13.449,00;4.749,62;175.546,28;0,732;3.163,36;15.024.768,82;5.714,00;0,688;0,838
5207907;Flores de Goiás;Vão do Paranã;GO;Centro-Oeste;3.709,42;17.005,00;4.634,37;143.538,65;0,597;1.636,76;7.585.333,50;4.712,00;0,457;0,799
5208004;Formosa;Entorno de Brasília;GO;Centro-Oeste;5.811,78;123.684,00;38.709,60;2.333.468,67;0,744;3.835,63;148.475.800,16;53.303,00;0,666;0,852
5208103;Formoso;Porangatu;GO;Centro-Oeste;844,29;4.172,00;1.483,21;65.677,33;0,715;2.938,27;4.358.065,23;1.890,00;0,639;0,834
5208152;Gameleira de Goiás;Pires do Rio;GO;Centro-Oeste;591,99;3.880,00;1.308,90;153.332,82;0,659;3.031,79;3.968.318,50;1.755,00;0,499;0,828
5208400;Goianápolis;Goiânia;GO;Centro-Oeste;162,44;11.224,00;3.536,39;209.905,84;0,703;3.179,96;11.245.605,83;5.691,00;0,62;0,825
5208509;Goiandira;Catalão;GO;Centro-Oeste;564,69;5.625,00;1.967,25;130.025,00;0,76;3.811,07;7.497.343,45;2.580,00;0,727;0,849
5208608;Goianésia;Ceres;GO;Centro-Oeste;1.547,27;71.075,00;22.488,02;1.388.941,86;0,727;3.974,53;89.379.395,70;42.825,00;0,636;0,84
5208707;Goiânia;Goiânia;GO;Centro-Oeste;732,8;1.536.097,00;520.284,61;49.364.257,88;0,799;5.760,30;2.996.995.564,64;1.442.806,00;0,739;0,838
5208806;Goianira;Goiânia;GO;Centro-Oeste;209,04;45.296,00;14.294,54;938.970,40;0,694;3.401,44;48.621.984,37;17.738,00;0,596;0,831
5208905;Goiás;Rio Vermelho;GO;Centro-Oeste;3.108,02;22.381,00;7.940,42;461.454,15;0,709;3.493,47;27.739.604,98;12.987,00;0,621;0,805
5209101;Goiatuba;Meia Ponte;GO;Centro-Oeste;2.475,11;34.202,00;11.958,98;1.544.144,59;0,725;3.735,91;44.677.621,57;26.331,00;0,627;0,825
5209150;Gouvelândia;Quirinópolis;GO;Centro-Oeste;824,26;5.988,00;2.159,76;179.358,96;0,674;3.032,71;6.549.922,69;2.427,00;0,559;0,806
5209200;Guapó;Goiânia;GO;Centro-Oeste;516,84;14.207,00;4.774,37;204.153,88;0,697;3.209,92;15.325.334,65;5.932,00;0,58;0,826
5209291;Guaraíta;Ceres;GO;Centro-Oeste;205,31;1.951,00;729,86336;33.140,09;0,687;2.410,97;1.759.679,54;1.038,00;0,625;0,816
5209408;Guarani de Goiás;Vão do Paranã;GO;Centro-Oeste;1.229,15;3.846,00;1.172,24;53.235,01;0,637;1.903,80;2.231.697,86;1.637,00;0,557;0,814
5209457;Guarinos;Ceres;GO;Centro-Oeste;595,87;1.737,00;637,67663;58.751,31;0,652;1.891,57;1.206.207,60;964;0,563;0,815
5209606;Heitoraí;Anápolis;GO;Centro-Oeste;229,64;3.733,00;1.310,88;56.442,02;0,694;2.434,90;3.191.865,09;1.652,00;0,62;0,814
5209705;Hidrolândia;Goiânia;GO;Centro-Oeste;943,9;22.124,00;7.206,35;1.145.750,93;0,706;3.899,97;28.104.506,60;15.684,00;0,603;0,827
5209804;Hidrolina;Ceres;GO;Centro-Oeste;580,39;3.508,00;1.255,34;55.913,20;0,677;2.731,47;3.428.925,88;1.344,00;0,577;0,824
5209903;Iaciara;Vão do Paranã;GO;Centro-Oeste;1.550,37;14.082,00;4.021,83;161.470,24;0,644;2.486,63;10.000.787,94;5.215,00;0,527;0,826
5209937;Inaciolândia;Meia Ponte;GO;Centro-Oeste;688,4;6.235,00;2.118,39;209.806,48;0,692;3.248,01;6.880.561,11;2.883,00;0,591;0,822
5209952;Indiara;Vale do Rio dos Bois;GO;Centro-Oeste;956,47;15.787,00;5.175,50;318.488,03;0,701;3.466,73;17.942.020,66;8.111,00;0,593;0,837
5210000;Inhumas;Anápolis;GO;Centro-Oeste;613,23;53.259,00;17.623,79;1.136.229,49;0,72;3.707,77;65.345.041,28;31.298,00;0,618;0,842
5210109;Ipameri;Catalão;GO;Centro-Oeste;4.368,99;27.174,00;9.324,89;1.486.439,57;0,701;3.471,63;32.372.580,23;16.484,00;0,588;0,823
5210158;Ipiranga de Goiás;Ceres;GO;Centro-Oeste;241,29;2.893,00;1.078,21;53.404,53;0,696;2.438,93;2.629.683,10;1.221,00;0,642;0,816
5210208;Iporá;Iporá;GO;Centro-Oeste;1.026,38;31.499,00;11.636,14;658.207,28;0,743;3.519,41;40.952.345,34;17.309,00;0,667;0,84
5210307;Israelândia;Iporá;GO;Centro-Oeste;577,48;2.786,00;1.020,85;48.569,26;0,711;2.855,14;2.914.675,49;1.288,00;0,652;0,831
