Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade; Última Atualização
5204409;Caiapônia;Centro-Oeste;GO;Sudoeste de Goiás;8.637,87;19.107;6.751,96;672.373,66;0.693;3.018,23;20.378.973,31;8.665,00;0.588;0.808;01/06/2024 01:40:00
5204508;Caldas Novas;Centro-Oeste;GO;Meia Ponte;1.595,97;93.196;31.751,03;2.554.677,19;0.733;4.024,50;127.782.108,73;65.988,00;0.64;0.832;01/06/2024 01:40:00
5204557;Caldazinha;Centro-Oeste;GO;Goiânia;250,89;3.848;1.329,3;50.661,71;0.685;2.998,79;3.986.277,93;1.215,00;0.591;0.814;01/06/2024 01:40:00
5204607;Campestre de Goiás;Centro-Oeste;GO;Vale do Rio dos Bois;273,82;3.649;1.200,39;57.885,72;0.653;2.447,21;2.937.594,33;1.578,00;0.556;0.799;01/06/2024 01:40:00
5204656;Campinaçu;Centro-Oeste;GO;Porangatu;1.974,37;3.632;1.251,98;61.699,74;0.631;2.284,73;2.860.434,91;1.611,00;0.476;0.819;01/06/2024 01:40:00
5204706;Campinorte;Centro-Oeste;GO;Porangatu;1.067,2;12.764;4.101,14;226.398,40;0.688;3.257,53;13.359.580,94;4.993,00;0.565;0.841;01/06/2024 01:40:00
5204805;Campo Alegre de Goiás;Centro-Oeste;GO;Catalão;2.462,99;7.738;2.565,69;412.523,73;0.694;3.625,02;9.300.651,79;4.464,00;0.586;0.811;01/06/2024 01:40:00
5204854;Campo Limpo de Goiás;Centro-Oeste;GO;Anápolis;159,56;7.940;2.535,08;101.425,90;0.661;3.091,18;7.836.363,30;3.732,00;0.533;0.829;01/06/2024 01:40:00
5204904;Campos Belos;Centro-Oeste;GO;Chapada dos Veadeiros;724,07;20.007;6.072,39;268.750,03;0.692;2.947,60;17.898.990,75;8.649,00;0.616;0.815;01/06/2024 01:40:00
5204953;Campos Verdes;Centro-Oeste;GO;Porangatu;441,65;1.830;633,22;44.744,45;0.654;2.097,57;1.328.215,96;1.273,00;0.577;0.796;01/06/2024 01:40:00
5205000;Carmo do Rio Verde;Centro-Oeste;GO;Ceres;418,54;10.186;3.579,1;249.647,77;0.713;2.914,27;10.430.480,07;4.735,00;0.649;0.824;01/06/2024 01:40:00
5205059;Castelândia;Centro-Oeste;GO;Sudoeste de Goiás;297,43;3.407;1.175,35;101.370,21;0.701;2.858,09;3.359.253,82;1.576,00;0.578;0.823;01/06/2024 01:40:00
5205109;Catalão;Centro-Oeste;GO;Catalão;3.821,46;110.983;37.311,32;6.108.291,67;0.766;4.717,44;176.013.838,40;72.805,00;0.715;0.819;01/06/2024 01:40:00
5205208;Caturaí;Centro-Oeste;GO;Anápolis;207,26;5.101;1.718,24;68.277,89;0.664;3.104,23;5.333.809,99;2.134,00;0.54;0.815;01/06/2024 01:40:00
5205307;Cavalcante;Centro-Oeste;GO;Chapada dos Veadeiros;6.953,65;9.725;2.897,22;253.197,75;0.584;2.108,07;6.107.534,14;3.752,00;0.415;0.808;01/06/2024 01:40:00
5205406;Ceres;Centro-Oeste;GO;Ceres;214,32;22.306;7.679,1;549.501,41;0.775;4.051,62;31.112.759,98;16.343,00;0.733;0.842;01/06/2024 01:40:00
5205455;Cezarina;Centro-Oeste;GO;Vale do Rio dos Bois;415,81;8.703;2.871,25;287.096,21;0.711;3.308,02;9.498.157,98;4.938,00;0.652;0.807;01/06/2024 01:40:00
5205471;Chapadão do Céu;Centro-Oeste;GO;Sudoeste de Goiás;2.185,13;10.486;3.275,16;1.106.080,14;0.742;4.895,50;16.033.546,83;10.431,00;0.652;0.837;01/06/2024 01:40:00
5205497;Cidade Ocidental;Centro-Oeste;GO;Entorno de Brasília;389,92;72.890;21.571,91;795.632,75;0.717;3.743,38;80.751.860,85;20.875,00;0.641;0.814;01/06/2024 01:40:00
5205513;Cocalzinho de Goiás;Centro-Oeste;GO;Entorno de Brasília;1.789,04;20.504;6.478,6;326.069,96;0.657;2.732,50;17.702.789,24;7.365,00;0.531;0.826;01/06/2024 01:40:00
5205521;Colinas do Sul;Centro-Oeste;GO;Chapada dos Veadeiros;1.708,19;3.360;1.080,56;45.304,21;0.658;2.515,92;2.718.597,80;1.275,00;0.549;0.82;01/06/2024 01:40:00
5205703;Córrego do Ouro;Centro-Oeste;GO;Iporá;462,3;2.290;864,13;45.768,39;0.686;3.188,18;2.754.989,67;1.242,00;0.578;0.803;01/06/2024 01:40:00
5205802;Corumbá de Goiás;Centro-Oeste;GO;Entorno de Brasília;1.061,95;11.169;3.598,77;174.495,55;0.68;2.809,53;10.110.850,99;4.763,00;0.571;0.829;01/06/2024 01:40:00
5205901;Corumbaíba;Centro-Oeste;GO;Catalão;1.883,67;9.869;3.369,04;588.941,82;0.698;3.357,62;11.311.964,54;7.369,00;0.582;0.831;01/06/2024 01:40:00
5206206;Cristalina;Centro-Oeste;GO;Entorno de Brasília;6.162,06;60.210;18.021,74;2.327.741,20;0.699;3.559,78;64.153.345,12;34.620,00;0.587;0.814;01/06/2024 01:40:00
5206305;Cristianópolis;Centro-Oeste;GO;Pires do Rio;225,36;2.964;1.098,94;73.396,84;0.688;2.964,64;3.257.959,41;1.695,00;0.554;0.838;01/06/2024 01:40:00
5206404;Crixás;Centro-Oeste;GO;São Miguel do Araguaia;4.661,16;17.044;5.695,42;521.765,51;0.708;3.161,75;18.007.485,03;11.587,00;0.625;0.805;01/06/2024 01:40:00
5206503;Cromínia;Centro-Oeste;GO;Meia Ponte;364,11;3.472;1.280,76;70.266,15;0.706;2.805,52;3.593.185,58;2.034,00;0.634;0.803;01/06/2024 01:40:00
5206602;Cumari;Centro-Oeste;GO;Catalão;570,54;2.837;1.033,51;60.561,50;0.737;3.413,98;3.528.362,45;1.361,00;0.657;0.819;01/06/2024 01:40:00
5206701;Damianópolis;Centro-Oeste;GO;Vão do Paranã;415,35;3.306;1.093,79;33.750,69;0.654;2.041,53;2.233.005,95;1.173,00;0.558;0.815;01/06/2024 01:40:00
5206800;Damolândia;Centro-Oeste;GO;Anápolis;84,5;2.953;1.073,27;39.743,36;0.697;2.892,81;3.104.753,17;1.260,00;0.6;0.819;01/06/2024 01:40:00
5206909;Davinópolis;Centro-Oeste;GO;Catalão;481,3;2.094;812,84;388.543,93;0.716;3.382,56;2.749.484,20;1.305,00;0.606;0.862;01/06/2024 01:40:00
5207105;Diorama;Centro-Oeste;GO;Aragarças;687,35;2.479;893,03;55.101,43;0.729;2.922,35;2.609.736,43;1.048,00;0.696;0.841;01/06/2024 01:40:00
5208301;Divinópolis de Goiás;Centro-Oeste;GO;Vão do Paranã;830,98;4.778;1.587,22;63.466,60;0.653;2.143,92;3.402.880,02;1.872,00;0.55;0.813;01/06/2024 01:40:00
5207253;Doverlândia;Centro-Oeste;GO;Sudoeste de Goiás;3.222,94;7.247;2.498,45;237.058,52;0.668;3.088,01;7.715.214,55;3.406,00;0.518;0.84;01/06/2024 01:40:00
5207352;Edealina;Centro-Oeste;GO;Vale do Rio dos Bois;603,65;3.688;1.403,79;252.407,91;0.702;3.276,01;4.598.817,96;2.414,00;0.594;0.808;01/06/2024 01:40:00
5207402;Edéia;Centro-Oeste;GO;Vale do Rio dos Bois;1.461,5;12.467;4.374,29;836.398,72;0.739;4.004,97;17.518.902,44;7.848,00;0.648;0.826;01/06/2024 01:40:00
5207501;Estrela do Norte;Centro-Oeste;GO;Porangatu;301,64;3.264;1.107,71;52.167,17;0.707;3.417,57;3.785.681,63;1.468,00;0.593;0.848;01/06/2024 01:40:00
5207535;Faina;Centro-Oeste;GO;Rio Vermelho;1.945,66;6.576;2.310,72;107.641,11;0.65;2.526,27;5.837.517,41;3.038,00;0.534;0.799;01/06/2024 01:40:00
5207600;Fazenda Nova;Centro-Oeste;GO;Iporá;1.281,42;5.553;2.052,64;101.624,51;0.685;2.730,76;5.605.269,70;2.631,00;0.576;0.831;01/06/2024 01:40:00
5207808;Firminópolis;Centro-Oeste;GO;Anicuns;423,65;13.449;4.749,62;175.546,28;0.732;3.163,36;15.024.768,82;5.714,00;0.688;0.838;01/06/2024 01:40:00
5207907;Flores de Goiás;Centro-Oeste;GO;Vão do Paranã;3.709,42;17.005;4.634,37;143.538,65;0.597;1.636,76;7.585.333,50;4.712,00;0.457;0.799;01/06/2024 01:40:00
5208004;Formosa;Centro-Oeste;GO;Entorno de Brasília;5.811,78;123.684;38.709,6;2.333.468,67;0.744;3.835,63;148.475.800,16;53.303,00;0.666;0.852;01/06/2024 01:40:00
5208103;Formoso;Centro-Oeste;GO;Porangatu;844,29;4.172;1.483,21;65.677,33;0.715;2.938,27;4.358.065,23;1.890,00;0.639;0.834;01/06/2024 01:40:00
5208152;Gameleira de Goiás;Centro-Oeste;GO;Pires do Rio;591,99;3.880;1.308,9;153.332,82;0.659;3.031,79;3.968.318,50;1.755,00;0.499;0.828;01/06/2024 01:40:00
5208400;Goianápolis;Centro-Oeste;GO;Goiânia;162,44;11.224;3.536,39;209.905,84;0.703;3.179,96;11.245.605,83;5.691,00;0.62;0.825;01/06/2024 01:40:00
5208509;Goiandira;Centro-Oeste;GO;Catalão;564,69;5.625;1.967,25;130.025,00;0.76;3.811,07;7.497.343,45;2.580,00;0.727;0.849;01/06/2024 01:40:00
5208608;Goianésia;Centro-Oeste;GO;Ceres;1.547,27;71.075;22.488,02;1.388.941,86;0.727;3.974,53;89.379.395,70;42.825,00;0.636;0.84;01/06/2024 01:40:00
5208707;Goiânia;Centro-Oeste;GO;Goiânia;732,8;1.536.097;520.284,61;49.364.257,88;0.799;5.760,30;2.996.995.564,64;1.442.806,00;0.739;0.838;01/06/2024 01:40:00
5208806;Goianira;Centro-Oeste;GO;Goiânia;209,04;45.296;14.294,54;938.970,40;0.694;3.401,44;48.621.984,37;17.738,00;0.596;0.831;01/06/2024 01:40:00
5208905;Goiás;Centro-Oeste;GO;Rio Vermelho;3.108,02;22.381;7.940,42;461.454,15;0.709;3.493,47;27.739.604,98;12.987,00;0.621;0.805;01/06/2024 01:40:00
5209101;Goiatuba;Centro-Oeste;GO;Meia Ponte;2.475,11;34.202;11.958,98;1.544.144,59;0.725;3.735,91;44.677.621,57;26.331,00;0.627;0.825;01/06/2024 01:40:00
5209150;Gouvelândia;Centro-Oeste;GO;Quirinópolis;824,26;5.988;2.159,76;179.358,96;0.674;3.032,71;6.549.922,69;2.427,00;0.559;0.806;01/06/2024 01:40:00
5209200;Guapó;Centro-Oeste;GO;Goiânia;516,84;14.207;4.774,37;204.153,88;0.697;3.209,92;15.325.334,65;5.932,00;0.58;0.826;01/06/2024 01:40:00
5209291;Guaraíta;Centro-Oeste;GO;Ceres;205,31;1.951;729,86;33.140,09;0.687;2.410,97;1.759.679,54;1.038,00;0.625;0.816;01/06/2024 01:40:00
5209408;Guarani de Goiás;Centro-Oeste;GO;Vão do Paranã;1.229,15;3.846;1.172,24;53.235,01;0.637;1.903,80;2.231.697,86;1.637,00;0.557;0.814;01/06/2024 01:40:00
5209457;Guarinos;Centro-Oeste;GO;Ceres;595,87;1.737;637,68;58.751,31;0.652;1.891,57;1.206.207,60;964,00;0.563;0.815;01/06/2024 01:40:00
5209606;Heitoraí;Centro-Oeste;GO;Anápolis;229,64;3.733;1.310,88;56.442,02;0.694;2.434,90;3.191.865,09;1.652,00;0.62;0.814;01/06/2024 01:40:00
5209705;Hidrolândia;Centro-Oeste;GO;Goiânia;943,9;22.124;7.206,35;1.145.750,93;0.706;3.899,97;28.104.506,60;15.684,00;0.603;0.827;01/06/2024 01:40:00
5209804;Hidrolina;Centro-Oeste;GO;Ceres;580,39;3.508;1.255,34;55.913,20;0.677;2.731,47;3.428.925,88;1.344,00;0.577;0.824;01/06/2024 01:40:00
5209903;Iaciara;Centro-Oeste;GO;Vão do Paranã;1.550,37;14.082;4.021,83;161.470,24;0.644;2.486,63;10.000.787,94;5.215,00;0.527;0.826;01/06/2024 01:40:00
5209937;Inaciolândia;Centro-Oeste;GO;Meia Ponte;688,4;6.235;2.118,39;209.806,48;0.692;3.248,01;6.880.561,11;2.883,00;0.591;0.822;01/06/2024 01:40:00
5209952;Indiara;Centro-Oeste;GO;Vale do Rio dos Bois;956,47;15.787;5.175,5;318.488,03;0.701;3.466,73;17.942.020,66;8.111,00;0.593;0.837;01/06/2024 01:40:00
5210000;Inhumas;Centro-Oeste;GO;Anápolis;613,23;53.259;17.623,79;1.136.229,49;0.72;3.707,77;65.345.041,28;31.298,00;0.618;0.842;01/06/2024 01:40:00
5210109;Ipameri;Centro-Oeste;GO;Catalão;4.368,99;27.174;9.324,89;1.486.439,57;0.701;3.471,63;32.372.580,23;16.484,00;0.588;0.823;01/06/2024 01:40:00
5210158;Ipiranga de Goiás;Centro-Oeste;GO;Ceres;241,29;2.893;1.078,21;53.404,53;0.696;2.438,93;2.629.683,10;1.221,00;0.642;0.816;01/06/2024 01:40:00
5210208;Iporá;Centro-Oeste;GO;Iporá;1.026,38;31.499;11.636,14;658.207,28;0.743;3.519,41;40.952.345,34;17.309,00;0.667;0.84;01/06/2024 01:40:00
5210307;Israelândia;Centro-Oeste;GO;Iporá;577,48;2.786;1.020,85;48.569,26;0.711;2.855,14;2.914.675,49;1.288,00;0.652;0.831;01/06/2024 01:40:00
5210406;Itaberaí;Centro-Oeste;GO;Anápolis;1.457,28;43.622;14.407,54;1.288.948,07;0.719;3.572,93;51.477.153,58;30.205,00;0.61;0.828;01/06/2024 01:40:00
5210562;Itaguari;Centro-Oeste;GO;Anápolis;146,64;4.685;1.710,08;70.411,07;0.693;3.104,27;5.308.559,34;2.311,00;0.596;0.817;01/06/2024 01:40:00
5210604;Itaguaru;Centro-Oeste;GO;Anápolis;239,68;5.206;1.868;77.053,29;0.718;3.069,39;5.733.625,10;2.355,00;0.648;0.828;01/06/2024 01:40:00
5210802;Itajá;Centro-Oeste;GO;Quirinópolis;2.091,4;4.475;1.565,11;99.163,70;0.691;3.291,31;5.151.244,71;2.483,00;0.57;0.835;01/06/2024 01:40:00
5210901;Itapaci;Centro-Oeste;GO;Ceres;956,13;23.421;7.838,03;342.750,82;0.725;3.497,92;27.416.805,32;10.843,00;0.626;0.844;01/06/2024 01:40:00
5211008;Itapirapuã;Centro-Oeste;GO;Rio Vermelho;2.043,71;4.685;1.729,24;143.055,45;0.677;2.845,27;4.920.152,26;3.548,00;0.568;0.816;01/06/2024 01:40:00
5211206;Itapuranga;Centro-Oeste;GO;Ceres;1.276,48;25.681;9.368,18;422.456,22;0.726;3.102,31;29.063.049,83;12.653,00;0.653;0.837;01/06/2024 01:40:00
5211305;Itarumã;Centro-Oeste;GO;Quirinópolis;3.433,63;7.259;2.472,64;245.224,48;0.693;3.991,52;9.869.620,53;3.546,00;0.503;0.861;01/06/2024 01:40:00
5211404;Itauçu;Centro-Oeste;GO;Anápolis;383,84;8.960;3.154,74;142.457,60;0.718;3.287,08;10.369.891,73;4.473,00;0.638;0.833;01/06/2024 01:40:00
